lid,lname,lnum,credit,semester,pid
200480,SQL최적화0480,JNU0480,1,2026-1,1
200481,전남대공개학과데이터분석0481,JNU0481,2,2026-1,2
200482,학사정보시스템0482,JNU0482,3,2026-1,3
200483,수강신청데이터베이스0483,JNU0483,1,2026-1,4
200484,성적관리실습0484,JNU0484,2,2026-1,5
200485,교육데이터마이닝0485,JNU0485,3,2026-1,6
200486,대학행정정보처리0486,JNU0486,1,2026-1,7
200487,공개데이터활용0487,JNU0487,2,2026-1,8
200488,SQL최적화0488,JNU0488,3,2026-1,1
200489,전남대공개학과데이터분석0489,JNU0489,1,2026-1,2
200490,학사정보시스템0490,JNU0490,2,2026-1,3
200491,수강신청데이터베이스0491,JNU0491,3,2026-1,4
200492,성적관리실습0492,JNU0492,1,2026-1,5
200493,교육데이터마이닝0493,JNU0493,2,2026-1,6
200494,대학행정정보처리0494,JNU0494,3,2026-1,7
200495,공개데이터활용0495,JNU0495,1,2026-1,8
200496,SQL최적화0496,JNU0496,2,2026-1,1
200497,전남대공개학과데이터분석0497,JNU0497,3,2026-1,2
200498,학사정보시스템0498,JNU0498,1,2026-1,3
200499,수강신청데이터베이스0499,JNU0499,2,2026-1,4
200500,성적관리실습0500,JNU0500,3,2026-1,5
200501,교육데이터마이닝0501,JNU0501,1,2026-1,6
200502,대학행정정보처리0502,JNU0502,2,2026-1,7
200503,공개데이터활용0503,JNU0503,3,2026-1,8
200504,SQL최적화0504,JNU0504,1,2026-1,1
200505,전남대공개학과데이터분석0505,JNU0505,2,2026-1,2
200506,학사정보시스템0506,JNU0506,3,2026-1,3
200507,수강신청데이터베이스0507,JNU0507,1,2026-1,4
200508,성적관리실습0508,JNU0508,2,2026-1,5
200509,교육데이터마이닝0509,JNU0509,3,2026-1,6
200510,대학행정정보처리0510,JNU0510,1,2026-1,7
200511,공개데이터활용0511,JNU0511,2,2026-1,8
200512,SQL최적화0512,JNU0512,3,2026-1,1
200513,전남대공개학과데이터분석0513,JNU0513,1,2026-1,2
200514,학사정보시스템0514,JNU0514,2,2026-1,3
200515,수강신청데이터베이스0515,JNU0515,3,2026-1,4
200516,성적관리실습0516,JNU0516,1,2026-1,5
200517,교육데이터마이닝0517,JNU0517,2,2026-1,6
200518,대학행정정보처리0518,JNU0518,3,2026-1,7
200519,공개데이터활용0519,JNU0519,1,2026-1,8
200520,SQL최적화0520,JNU0520,2,2026-1,1
200521,전남대공개학과데이터분석0521,JNU0521,3,2026-1,2
200522,학사정보시스템0522,JNU0522,1,2026-1,3
200523,수강신청데이터베이스0523,JNU0523,2,2026-1,4
200524,성적관리실습0524,JNU0524,3,2026-1,5
200525,교육데이터마이닝0525,JNU0525,1,2026-1,6
200526,대학행정정보처리0526,JNU0526,2,2026-1,7
200527,공개데이터활용0527,JNU0527,3,2026-1,8
200528,SQL최적화0528,JNU0528,1,2026-1,1
200529,전남대공개학과데이터분석0529,JNU0529,2,2026-1,2
200530,학사정보시스템0530,JNU0530,3,2026-1,3
200531,수강신청데이터베이스0531,JNU0531,1,2026-1,4
200532,성적관리실습0532,JNU0532,2,2026-1,5
200533,교육데이터마이닝0533,JNU0533,3,2026-1,6
200534,대학행정정보처리0534,JNU0534,1,2026-1,7
200535,공개데이터활용0535,JNU0535,2,2026-1,8
200536,SQL최적화0536,JNU0536,3,2026-1,1
200537,전남대공개학과데이터분석0537,JNU0537,1,2026-1,2
200538,학사정보시스템0538,JNU0538,2,2026-1,3
200539,수강신청데이터베이스0539,JNU0539,3,2026-1,4
200540,성적관리실습0540,JNU0540,1,2026-1,5
200541,교육데이터마이닝0541,JNU0541,2,2026-1,6
200542,대학행정정보처리0542,JNU0542,3,2026-1,7
200543,공개데이터활용0543,JNU0543,1,2026-1,8
200544,SQL최적화0544,JNU0544,2,2026-1,1
200545,전남대공개학과데이터분석0545,JNU0545,3,2026-1,2
200546,학사정보시스템0546,JNU0546,1,2026-1,3
200547,수강신청데이터베이스0547,JNU0547,2,2026-1,4
200548,성적관리실습0548,JNU0548,3,2026-1,5
200549,교육데이터마이닝0549,JNU0549,1,2026-1,6
200550,대학행정정보처리0550,JNU0550,2,2026-1,7
200551,공개데이터활용0551,JNU0551,3,2026-1,8
200552,SQL최적화0552,JNU0552,1,2026-1,1
200553,전남대공개학과데이터분석0553,JNU0553,2,2026-1,2
200554,학사정보시스템0554,JNU0554,3,2026-1,3
200555,수강신청데이터베이스0555,JNU0555,1,2026-1,4
200556,성적관리실습0556,JNU0556,2,2026-1,5
200557,교육데이터마이닝0557,JNU0557,3,2026-1,6
200558,대학행정정보처리0558,JNU0558,1,2026-1,7
200559,공개데이터활용0559,JNU0559,2,2026-1,8
200560,SQL최적화0560,JNU0560,3,2026-1,1
200561,전남대공개학과데이터분석0561,JNU0561,1,2026-1,2
200562,학사정보시스템0562,JNU0562,2,2026-1,3
200563,수강신청데이터베이스0563,JNU0563,3,2026-1,4
200564,성적관리실습0564,JNU0564,1,2026-1,5
200565,교육데이터마이닝0565,JNU0565,2,2026-1,6
200566,대학행정정보처리0566,JNU0566,3,2026-1,7
200567,공개데이터활용0567,JNU0567,1,2026-1,8
200568,SQL최적화0568,JNU0568,2,2026-1,1
200569,전남대공개학과데이터분석0569,JNU0569,3,2026-1,2
200570,학사정보시스템0570,JNU0570,1,2026-1,3
200571,수강신청데이터베이스0571,JNU0571,2,2026-1,4
200572,성적관리실습0572,JNU0572,3,2026-1,5
200573,교육데이터마이닝0573,JNU0573,1,2026-1,6
200574,대학행정정보처리0574,JNU0574,2,2026-1,7
200575,공개데이터활용0575,JNU0575,3,2026-1,8
200576,SQL최적화0576,JNU0576,1,2026-1,1
200577,전남대공개학과데이터분석0577,JNU0577,2,2026-1,2
200578,학사정보시스템0578,JNU0578,3,2026-1,3
200579,수강신청데이터베이스0579,JNU0579,1,2026-1,4
200580,성적관리실습0580,JNU0580,2,2026-1,5
200581,교육데이터마이닝0581,JNU0581,3,2026-1,6
200582,대학행정정보처리0582,JNU0582,1,2026-1,7
200583,공개데이터활용0583,JNU0583,2,2026-1,8
200584,SQL최적화0584,JNU0584,3,2026-1,1
200585,전남대공개학과데이터분석0585,JNU0585,1,2026-1,2
200586,학사정보시스템0586,JNU0586,2,2026-1,3
200587,수강신청데이터베이스0587,JNU0587,3,2026-1,4
200588,성적관리실습0588,JNU0588,1,2026-1,5
200589,교육데이터마이닝0589,JNU0589,2,2026-1,6
200590,대학행정정보처리0590,JNU0590,3,2026-1,7
200591,공개데이터활용0591,JNU0591,1,2026-1,8
200592,SQL최적화0592,JNU0592,2,2026-1,1
200593,전남대공개학과데이터분석0593,JNU0593,3,2026-1,2
200594,학사정보시스템0594,JNU0594,1,2026-1,3
200595,수강신청데이터베이스0595,JNU0595,2,2026-1,4
200596,성적관리실습0596,JNU0596,3,2026-1,5
200597,교육데이터마이닝0597,JNU0597,1,2026-1,6
200598,대학행정정보처리0598,JNU0598,2,2026-1,7
200599,공개데이터활용0599,JNU0599,3,2026-1,8
200600,SQL최적화0600,JNU0600,1,2026-1,1
200601,전남대공개학과데이터분석0601,JNU0601,2,2026-1,2
200602,학사정보시스템0602,JNU0602,3,2026-1,3
200603,수강신청데이터베이스0603,JNU0603,1,2026-1,4
200604,성적관리실습0604,JNU0604,2,2026-1,5
200605,교육데이터마이닝0605,JNU0605,3,2026-1,6
200606,대학행정정보처리0606,JNU0606,1,2026-1,7
200607,공개데이터활용0607,JNU0607,2,2026-1,8
200608,SQL최적화0608,JNU0608,3,2026-1,1
200609,전남대공개학과데이터분석0609,JNU0609,1,2026-1,2
200610,학사정보시스템0610,JNU0610,2,2026-1,3
200611,수강신청데이터베이스0611,JNU0611,3,2026-1,4
200612,성적관리실습0612,JNU0612,1,2026-1,5
200613,교육데이터마이닝0613,JNU0613,2,2026-1,6
200614,대학행정정보처리0614,JNU0614,3,2026-1,7
200615,공개데이터활용0615,JNU0615,1,2026-1,8
200616,SQL최적화0616,JNU0616,2,2026-1,1
200617,전남대공개학과데이터분석0617,JNU0617,3,2026-1,2
200618,학사정보시스템0618,JNU0618,1,2026-1,3
200619,수강신청데이터베이스0619,JNU0619,2,2026-1,4
200620,성적관리실습0620,JNU0620,3,2026-1,5
200621,교육데이터마이닝0621,JNU0621,1,2026-1,6
200622,대학행정정보처리0622,JNU0622,2,2026-1,7
200623,공개데이터활용0623,JNU0623,3,2026-1,8
200624,SQL최적화0624,JNU0624,1,2026-1,1
200625,전남대공개학과데이터분석0625,JNU0625,2,2026-1,2
200626,학사정보시스템0626,JNU0626,3,2026-1,3
200627,수강신청데이터베이스0627,JNU0627,1,2026-1,4
200628,성적관리실습0628,JNU0628,2,2026-1,5
200629,교육데이터마이닝0629,JNU0629,3,2026-1,6
200630,대학행정정보처리0630,JNU0630,1,2026-1,7
200631,공개데이터활용0631,JNU0631,2,2026-1,8
200632,SQL최적화0632,JNU0632,3,2026-1,1
200633,전남대공개학과데이터분석0633,JNU0633,1,2026-1,2
200634,학사정보시스템0634,JNU0634,2,2026-1,3
200635,수강신청데이터베이스0635,JNU0635,3,2026-1,4
200636,성적관리실습0636,JNU0636,1,2026-1,5
200637,교육데이터마이닝0637,JNU0637,2,2026-1,6
200638,대학행정정보처리0638,JNU0638,3,2026-1,7
200639,공개데이터활용0639,JNU0639,1,2026-1,8
200640,SQL최적화0640,JNU0640,2,2026-1,1
200641,전남대공개학과데이터분석0641,JNU0641,3,2026-1,2
200642,학사정보시스템0642,JNU0642,1,2026-1,3
200643,수강신청데이터베이스0643,JNU0643,2,2026-1,4
200644,성적관리실습0644,JNU0644,3,2026-1,5
200645,교육데이터마이닝0645,JNU0645,1,2026-1,6
200646,대학행정정보처리0646,JNU0646,2,2026-1,7
200647,공개데이터활용0647,JNU0647,3,2026-1,8
200648,SQL최적화0648,JNU0648,1,2026-1,1
200649,전남대공개학과데이터분석0649,JNU0649,2,2026-1,2
200650,학사정보시스템0650,JNU0650,3,2026-1,3
200651,수강신청데이터베이스0651,JNU0651,1,2026-1,4
200652,성적관리실습0652,JNU0652,2,2026-1,5
200653,교육데이터마이닝0653,JNU0653,3,2026-1,6
200654,대학행정정보처리0654,JNU0654,1,2026-1,7
200655,공개데이터활용0655,JNU0655,2,2026-1,8
200656,SQL최적화0656,JNU0656,3,2026-1,1
200657,전남대공개학과데이터분석0657,JNU0657,1,2026-1,2
200658,학사정보시스템0658,JNU0658,2,2026-1,3
200659,수강신청데이터베이스0659,JNU0659,3,2026-1,4
200660,성적관리실습0660,JNU0660,1,2026-1,5
200661,교육데이터마이닝0661,JNU0661,2,2026-1,6
200662,대학행정정보처리0662,JNU0662,3,2026-1,7
200663,공개데이터활용0663,JNU0663,1,2026-1,8
200664,SQL최적화0664,JNU0664,2,2026-1,1
200665,전남대공개학과데이터분석0665,JNU0665,3,2026-1,2
200666,학사정보시스템0666,JNU0666,1,2026-1,3
200667,수강신청데이터베이스0667,JNU0667,2,2026-1,4
200668,성적관리실습0668,JNU0668,3,2026-1,5
200669,교육데이터마이닝0669,JNU0669,1,2026-1,6
200670,대학행정정보처리0670,JNU0670,2,2026-1,7
200671,공개데이터활용0671,JNU0671,3,2026-1,8
200672,SQL최적화0672,JNU0672,1,2026-1,1
200673,전남대공개학과데이터분석0673,JNU0673,2,2026-1,2
200674,학사정보시스템0674,JNU0674,3,2026-1,3
200675,수강신청데이터베이스0675,JNU0675,1,2026-1,4
200676,성적관리실습0676,JNU0676,2,2026-1,5
200677,교육데이터마이닝0677,JNU0677,3,2026-1,6
200678,대학행정정보처리0678,JNU0678,1,2026-1,7
200679,공개데이터활용0679,JNU0679,2,2026-1,8
200680,SQL최적화0680,JNU0680,3,2026-1,1
200681,전남대공개학과데이터분석0681,JNU0681,1,2026-1,2
200682,학사정보시스템0682,JNU0682,2,2026-1,3
200683,수강신청데이터베이스0683,JNU0683,3,2026-1,4
200684,성적관리실습0684,JNU0684,1,2026-1,5
200685,교육데이터마이닝0685,JNU0685,2,2026-1,6
200686,대학행정정보처리0686,JNU0686,3,2026-1,7
200687,공개데이터활용0687,JNU0687,1,2026-1,8
200688,SQL최적화0688,JNU0688,2,2026-1,1
200689,전남대공개학과데이터분석0689,JNU0689,3,2026-1,2
200690,학사정보시스템0690,JNU0690,1,2026-1,3
200691,수강신청데이터베이스0691,JNU0691,2,2026-1,4
200692,성적관리실습0692,JNU0692,3,2026-1,5
200693,교육데이터마이닝0693,JNU0693,1,2026-1,6
200694,대학행정정보처리0694,JNU0694,2,2026-1,7
200695,공개데이터활용0695,JNU0695,3,2026-1,8
200696,SQL최적화0696,JNU0696,1,2026-1,1
200697,전남대공개학과데이터분석0697,JNU0697,2,2026-1,2
200698,학사정보시스템0698,JNU0698,3,2026-1,3
200699,수강신청데이터베이스0699,JNU0699,1,2026-1,4
200700,성적관리실습0700,JNU0700,2,2026-1,5
200701,교육데이터마이닝0701,JNU0701,3,2026-1,6
200702,대학행정정보처리0702,JNU0702,1,2026-1,7
200703,공개데이터활용0703,JNU0703,2,2026-1,8
200704,SQL최적화0704,JNU0704,3,2026-1,1
200705,전남대공개학과데이터분석0705,JNU0705,1,2026-1,2
200706,학사정보시스템0706,JNU0706,2,2026-1,3
200707,수강신청데이터베이스0707,JNU0707,3,2026-1,4
200708,성적관리실습0708,JNU0708,1,2026-1,5
200709,교육데이터마이닝0709,JNU0709,2,2026-1,6
200710,대학행정정보처리0710,JNU0710,3,2026-1,7
200711,공개데이터활용0711,JNU0711,1,2026-1,8
200712,SQL최적화0712,JNU0712,2,2026-1,1
200713,전남대공개학과데이터분석0713,JNU0713,3,2026-1,2
200714,학사정보시스템0714,JNU0714,1,2026-1,3
200715,수강신청데이터베이스0715,JNU0715,2,2026-1,4
200716,성적관리실습0716,JNU0716,3,2026-1,5
200717,교육데이터마이닝0717,JNU0717,1,2026-1,6
200718,대학행정정보처리0718,JNU0718,2,2026-1,7
200719,공개데이터활용0719,JNU0719,3,2026-1,8
200720,SQL최적화0720,JNU0720,1,2026-1,1
200721,전남대공개학과데이터분석0721,JNU0721,2,2026-1,2
200722,학사정보시스템0722,JNU0722,3,2026-1,3
200723,수강신청데이터베이스0723,JNU0723,1,2026-1,4
200724,성적관리실습0724,JNU0724,2,2026-1,5
200725,교육데이터마이닝0725,JNU0725,3,2026-1,6
200726,대학행정정보처리0726,JNU0726,1,2026-1,7
200727,공개데이터활용0727,JNU0727,2,2026-1,8
200728,SQL최적화0728,JNU0728,3,2026-1,1
200729,전남대공개학과데이터분석0729,JNU0729,1,2026-1,2
200730,학사정보시스템0730,JNU0730,2,2026-1,3
200731,수강신청데이터베이스0731,JNU0731,3,2026-1,4
200732,성적관리실습0732,JNU0732,1,2026-1,5
200733,교육데이터마이닝0733,JNU0733,2,2026-1,6
200734,대학행정정보처리0734,JNU0734,3,2026-1,7
200735,공개데이터활용0735,JNU0735,1,2026-1,8
200736,SQL최적화0736,JNU0736,2,2026-1,1
200737,전남대공개학과데이터분석0737,JNU0737,3,2026-1,2
200738,학사정보시스템0738,JNU0738,1,2026-1,3
200739,수강신청데이터베이스0739,JNU0739,2,2026-1,4
200740,성적관리실습0740,JNU0740,3,2026-1,5
200741,교육데이터마이닝0741,JNU0741,1,2026-1,6
200742,대학행정정보처리0742,JNU0742,2,2026-1,7
200743,공개데이터활용0743,JNU0743,3,2026-1,8
200744,SQL최적화0744,JNU0744,1,2026-1,1
200745,전남대공개학과데이터분석0745,JNU0745,2,2026-1,2
200746,학사정보시스템0746,JNU0746,3,2026-1,3
200747,수강신청데이터베이스0747,JNU0747,1,2026-1,4
200748,성적관리실습0748,JNU0748,2,2026-1,5
200749,교육데이터마이닝0749,JNU0749,3,2026-1,6
200750,대학행정정보처리0750,JNU0750,1,2026-1,7
200751,공개데이터활용0751,JNU0751,2,2026-1,8
200752,SQL최적화0752,JNU0752,3,2026-1,1
200753,전남대공개학과데이터분석0753,JNU0753,1,2026-1,2
200754,학사정보시스템0754,JNU0754,2,2026-1,3
200755,수강신청데이터베이스0755,JNU0755,3,2026-1,4
200756,성적관리실습0756,JNU0756,1,2026-1,5
200757,교육데이터마이닝0757,JNU0757,2,2026-1,6
200758,대학행정정보처리0758,JNU0758,3,2026-1,7
200759,공개데이터활용0759,JNU0759,1,2026-1,8
200760,SQL최적화0760,JNU0760,2,2026-1,1
200761,전남대공개학과데이터분석0761,JNU0761,3,2026-1,2
200762,학사정보시스템0762,JNU0762,1,2026-1,3
200763,수강신청데이터베이스0763,JNU0763,2,2026-1,4
200764,성적관리실습0764,JNU0764,3,2026-1,5
200765,교육데이터마이닝0765,JNU0765,1,2026-1,6
200766,대학행정정보처리0766,JNU0766,2,2026-1,7
200767,공개데이터활용0767,JNU0767,3,2026-1,8
200768,SQL최적화0768,JNU0768,1,2026-1,1
200769,전남대공개학과데이터분석0769,JNU0769,2,2026-1,2
200770,학사정보시스템0770,JNU0770,3,2026-1,3
200771,수강신청데이터베이스0771,JNU0771,1,2026-1,4
200772,성적관리실습0772,JNU0772,2,2026-1,5
200773,교육데이터마이닝0773,JNU0773,3,2026-1,6
200774,대학행정정보처리0774,JNU0774,1,2026-1,7
200775,공개데이터활용0775,JNU0775,2,2026-1,8
200776,SQL최적화0776,JNU0776,3,2026-1,1
200777,전남대공개학과데이터분석0777,JNU0777,1,2026-1,2
200778,학사정보시스템0778,JNU0778,2,2026-1,3
200779,수강신청데이터베이스0779,JNU0779,3,2026-1,4
200780,성적관리실습0780,JNU0780,1,2026-1,5
200781,교육데이터마이닝0781,JNU0781,2,2026-1,6
200782,대학행정정보처리0782,JNU0782,3,2026-1,7
200783,공개데이터활용0783,JNU0783,1,2026-1,8
200784,SQL최적화0784,JNU0784,2,2026-1,1
200785,전남대공개학과데이터분석0785,JNU0785,3,2026-1,2
200786,학사정보시스템0786,JNU0786,1,2026-1,3
200787,수강신청데이터베이스0787,JNU0787,2,2026-1,4
200788,성적관리실습0788,JNU0788,3,2026-1,5
200789,교육데이터마이닝0789,JNU0789,1,2026-1,6
200790,대학행정정보처리0790,JNU0790,2,2026-1,7
200791,공개데이터활용0791,JNU0791,3,2026-1,8
200792,SQL최적화0792,JNU0792,1,2026-1,1
200793,전남대공개학과데이터분석0793,JNU0793,2,2026-1,2
200794,학사정보시스템0794,JNU0794,3,2026-1,3
200795,수강신청데이터베이스0795,JNU0795,1,2026-1,4
200796,성적관리실습0796,JNU0796,2,2026-1,5
200797,교육데이터마이닝0797,JNU0797,3,2026-1,6
200798,대학행정정보처리0798,JNU0798,1,2026-1,7
200799,공개데이터활용0799,JNU0799,2,2026-1,8
200800,SQL최적화0800,JNU0800,3,2026-1,1
200801,전남대공개학과데이터분석0801,JNU0801,1,2026-1,2
200802,학사정보시스템0802,JNU0802,2,2026-1,3
200803,수강신청데이터베이스0803,JNU0803,3,2026-1,4
200804,성적관리실습0804,JNU0804,1,2026-1,5
200805,교육데이터마이닝0805,JNU0805,2,2026-1,6
200806,대학행정정보처리0806,JNU0806,3,2026-1,7
200807,공개데이터활용0807,JNU0807,1,2026-1,8
200808,SQL최적화0808,JNU0808,2,2026-1,1
200809,전남대공개학과데이터분석0809,JNU0809,3,2026-1,2
200810,학사정보시스템0810,JNU0810,1,2026-1,3
200811,수강신청데이터베이스0811,JNU0811,2,2026-1,4
200812,성적관리실습0812,JNU0812,3,2026-1,5
200813,교육데이터마이닝0813,JNU0813,1,2026-1,6
200814,대학행정정보처리0814,JNU0814,2,2026-1,7
200815,공개데이터활용0815,JNU0815,3,2026-1,8
200816,SQL최적화0816,JNU0816,1,2026-1,1
200817,전남대공개학과데이터분석0817,JNU0817,2,2026-1,2
200818,학사정보시스템0818,JNU0818,3,2026-1,3
200819,수강신청데이터베이스0819,JNU0819,1,2026-1,4
200820,성적관리실습0820,JNU0820,2,2026-1,5
200821,교육데이터마이닝0821,JNU0821,3,2026-1,6
200822,대학행정정보처리0822,JNU0822,1,2026-1,7
200823,공개데이터활용0823,JNU0823,2,2026-1,8
200824,SQL최적화0824,JNU0824,3,2026-1,1
200825,전남대공개학과데이터분석0825,JNU0825,1,2026-1,2
200826,학사정보시스템0826,JNU0826,2,2026-1,3
200827,수강신청데이터베이스0827,JNU0827,3,2026-1,4
200828,성적관리실습0828,JNU0828,1,2026-1,5
200829,교육데이터마이닝0829,JNU0829,2,2026-1,6
200830,대학행정정보처리0830,JNU0830,3,2026-1,7
200831,공개데이터활용0831,JNU0831,1,2026-1,8
200832,SQL최적화0832,JNU0832,2,2026-1,1
200833,전남대공개학과데이터분석0833,JNU0833,3,2026-1,2
200834,학사정보시스템0834,JNU0834,1,2026-1,3
200835,수강신청데이터베이스0835,JNU0835,2,2026-1,4
200836,성적관리실습0836,JNU0836,3,2026-1,5
200837,교육데이터마이닝0837,JNU0837,1,2026-1,6
200838,대학행정정보처리0838,JNU0838,2,2026-1,7
200839,공개데이터활용0839,JNU0839,3,2026-1,8
200840,SQL최적화0840,JNU0840,1,2026-1,1
200841,전남대공개학과데이터분석0841,JNU0841,2,2026-1,2
200842,학사정보시스템0842,JNU0842,3,2026-1,3
200843,수강신청데이터베이스0843,JNU0843,1,2026-1,4
200844,성적관리실습0844,JNU0844,2,2026-1,5
200845,교육데이터마이닝0845,JNU0845,3,2026-1,6
200846,대학행정정보처리0846,JNU0846,1,2026-1,7
200847,공개데이터활용0847,JNU0847,2,2026-1,8
200848,SQL최적화0848,JNU0848,3,2026-1,1
200849,전남대공개학과데이터분석0849,JNU0849,1,2026-1,2
200850,학사정보시스템0850,JNU0850,2,2026-1,3
200851,수강신청데이터베이스0851,JNU0851,3,2026-1,4
200852,성적관리실습0852,JNU0852,1,2026-1,5
200853,교육데이터마이닝0853,JNU0853,2,2026-1,6
200854,대학행정정보처리0854,JNU0854,3,2026-1,7
200855,공개데이터활용0855,JNU0855,1,2026-1,8
200856,SQL최적화0856,JNU0856,2,2026-1,1
200857,전남대공개학과데이터분석0857,JNU0857,3,2026-1,2
200858,학사정보시스템0858,JNU0858,1,2026-1,3
200859,수강신청데이터베이스0859,JNU0859,2,2026-1,4
200860,성적관리실습0860,JNU0860,3,2026-1,5
200861,교육데이터마이닝0861,JNU0861,1,2026-1,6
200862,대학행정정보처리0862,JNU0862,2,2026-1,7
200863,공개데이터활용0863,JNU0863,3,2026-1,8
200864,SQL최적화0864,JNU0864,1,2026-1,1
200865,전남대공개학과데이터분석0865,JNU0865,2,2026-1,2
200866,학사정보시스템0866,JNU0866,3,2026-1,3
200867,수강신청데이터베이스0867,JNU0867,1,2026-1,4
200868,성적관리실습0868,JNU0868,2,2026-1,5
200869,교육데이터마이닝0869,JNU0869,3,2026-1,6
200870,대학행정정보처리0870,JNU0870,1,2026-1,7
200871,공개데이터활용0871,JNU0871,2,2026-1,8
200872,SQL최적화0872,JNU0872,3,2026-1,1
200873,전남대공개학과데이터분석0873,JNU0873,1,2026-1,2
200874,학사정보시스템0874,JNU0874,2,2026-1,3
200875,수강신청데이터베이스0875,JNU0875,3,2026-1,4
200876,성적관리실습0876,JNU0876,1,2026-1,5
200877,교육데이터마이닝0877,JNU0877,2,2026-1,6
200878,대학행정정보처리0878,JNU0878,3,2026-1,7
200879,공개데이터활용0879,JNU0879,1,2026-1,8
200880,SQL최적화0880,JNU0880,2,2026-1,1
200881,전남대공개학과데이터분석0881,JNU0881,3,2026-1,2
200882,학사정보시스템0882,JNU0882,1,2026-1,3
200883,수강신청데이터베이스0883,JNU0883,2,2026-1,4
200884,성적관리실습0884,JNU0884,3,2026-1,5
200885,교육데이터마이닝0885,JNU0885,1,2026-1,6
200886,대학행정정보처리0886,JNU0886,2,2026-1,7
200887,공개데이터활용0887,JNU0887,3,2026-1,8
200888,SQL최적화0888,JNU0888,1,2026-1,1
200889,전남대공개학과데이터분석0889,JNU0889,2,2026-1,2
200890,학사정보시스템0890,JNU0890,3,2026-1,3
200891,수강신청데이터베이스0891,JNU0891,1,2026-1,4
200892,성적관리실습0892,JNU0892,2,2026-1,5
200893,교육데이터마이닝0893,JNU0893,3,2026-1,6
200894,대학행정정보처리0894,JNU0894,1,2026-1,7
200895,공개데이터활용0895,JNU0895,2,2026-1,8
200896,SQL최적화0896,JNU0896,3,2026-1,1
200897,전남대공개학과데이터분석0897,JNU0897,1,2026-1,2
200898,학사정보시스템0898,JNU0898,2,2026-1,3
200899,수강신청데이터베이스0899,JNU0899,3,2026-1,4
200900,성적관리실습0900,JNU0900,1,2026-1,5
200901,교육데이터마이닝0901,JNU0901,2,2026-1,6
200902,대학행정정보처리0902,JNU0902,3,2026-1,7
200903,공개데이터활용0903,JNU0903,1,2026-1,8
200904,SQL최적화0904,JNU0904,2,2026-1,1
200905,전남대공개학과데이터분석0905,JNU0905,3,2026-1,2
200906,학사정보시스템0906,JNU0906,1,2026-1,3
200907,수강신청데이터베이스0907,JNU0907,2,2026-1,4
200908,성적관리실습0908,JNU0908,3,2026-1,5
200909,교육데이터마이닝0909,JNU0909,1,2026-1,6
200910,대학행정정보처리0910,JNU0910,2,2026-1,7
200911,공개데이터활용0911,JNU0911,3,2026-1,8
200912,SQL최적화0912,JNU0912,1,2026-1,1
200913,전남대공개학과데이터분석0913,JNU0913,2,2026-1,2
200914,학사정보시스템0914,JNU0914,3,2026-1,3
200915,수강신청데이터베이스0915,JNU0915,1,2026-1,4
200916,성적관리실습0916,JNU0916,2,2026-1,5
200917,교육데이터마이닝0917,JNU0917,3,2026-1,6
200918,대학행정정보처리0918,JNU0918,1,2026-1,7
200919,공개데이터활용0919,JNU0919,2,2026-1,8
200920,SQL최적화0920,JNU0920,3,2026-1,1
200921,전남대공개학과데이터분석0921,JNU0921,1,2026-1,2
200922,학사정보시스템0922,JNU0922,2,2026-1,3
200923,수강신청데이터베이스0923,JNU0923,3,2026-1,4
200924,성적관리실습0924,JNU0924,1,2026-1,5
200925,교육데이터마이닝0925,JNU0925,2,2026-1,6
200926,대학행정정보처리0926,JNU0926,3,2026-1,7
200927,공개데이터활용0927,JNU0927,1,2026-1,8
200928,SQL최적화0928,JNU0928,2,2026-1,1
200929,전남대공개학과데이터분석0929,JNU0929,3,2026-1,2
200930,학사정보시스템0930,JNU0930,1,2026-1,3
200931,수강신청데이터베이스0931,JNU0931,2,2026-1,4
200932,성적관리실습0932,JNU0932,3,2026-1,5
200933,교육데이터마이닝0933,JNU0933,1,2026-1,6
200934,대학행정정보처리0934,JNU0934,2,2026-1,7
200935,공개데이터활용0935,JNU0935,3,2026-1,8
200936,SQL최적화0936,JNU0936,1,2026-1,1
200937,전남대공개학과데이터분석0937,JNU0937,2,2026-1,2
200938,학사정보시스템0938,JNU0938,3,2026-1,3
200939,수강신청데이터베이스0939,JNU0939,1,2026-1,4
200940,성적관리실습0940,JNU0940,2,2026-1,5
200941,교육데이터마이닝0941,JNU0941,3,2026-1,6
200942,대학행정정보처리0942,JNU0942,1,2026-1,7
200943,공개데이터활용0943,JNU0943,2,2026-1,8
200944,SQL최적화0944,JNU0944,3,2026-1,1
200945,전남대공개학과데이터분석0945,JNU0945,1,2026-1,2
200946,학사정보시스템0946,JNU0946,2,2026-1,3
200947,수강신청데이터베이스0947,JNU0947,3,2026-1,4
200948,성적관리실습0948,JNU0948,1,2026-1,5
200949,교육데이터마이닝0949,JNU0949,2,2026-1,6
200950,대학행정정보처리0950,JNU0950,3,2026-1,7
200951,공개데이터활용0951,JNU0951,1,2026-1,8
200952,SQL최적화0952,JNU0952,2,2026-1,1
200953,전남대공개학과데이터분석0953,JNU0953,3,2026-1,2
200954,학사정보시스템0954,JNU0954,1,2026-1,3
200955,수강신청데이터베이스0955,JNU0955,2,2026-1,4
200956,성적관리실습0956,JNU0956,3,2026-1,5
200957,교육데이터마이닝0957,JNU0957,1,2026-1,6
200958,대학행정정보처리0958,JNU0958,2,2026-1,7
200959,공개데이터활용0959,JNU0959,3,2026-1,8
